,State,District,SOURCE,Latitude,Longitude,Well Depth,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pst_2015,Pst_2016,Pst_2017,Pst_2018,Pst_2015
92,gujarat,Kachchh,SGWB,23.32,69.9,140.0,48.75,48.95,48.604670259973105,47.8,47.83,47.43,47.58,48.88,49.08,50.58
93,gujarat,Kachchh,SGWB,23.24,69.51,100.0,38.05,38.25,37.88393009339236,37.15,37.23,36.68,36.88,37.33,37.73,39.28
94,gujarat,Kachchh,SGWB,23.16,69.79,180.0,16.05,16.1,16.653179163062333,15.45,15.68,14.83,14.88,16.03,16.28,16.98
95,gujarat,Kachchh,SGWB,23.1,69.8,85.15,58.7,58.9,58.180356111539915,57.65,57.78,57.28,57.23,58.28,58.58,59.38
96,gujarat,Kachchh,SGWB,23.18,69.57,87.5,62.75,62.85,62.34007574296881,61.7,61.83,61.38,61.48,62.08,62.38,63.28
97,gujarat,Kachchh,SGWB,22.43,69.39,86.3,68.55,68.65,67.94481443960206,67.6,67.98,67.18,67.28,68.18,68.38,71.03
98,gujarat,Kachchh,SGWB,23.11,69.3,89.0,83.9,83.95,83.23732563409702,82.65,83.38,82.38,82.48,83.58,83.88,85.18
99,gujarat,Kachchh,SGWB,23.14,69.4,88.9,12.95,12.9,12.927602727052868,12.1,12.18,11.53,11.73,12.43,12.63,13.08
100,gujarat,Kachchh,SGWB,22.96,69.3,28.1,19.6,19.5,18.88543840668317,18.5,18.98,18.23,18.18,19.03,19.28,20.58
101,gujarat,Mehsana,SGWB,23.62,72.24,55.1,34.34999847,34.0,34.0,33.79999924,34.59999847,34.29999924,34.0,33.79999924,33.90000153,33.40000153
102,gujarat,Mehsana,SGWB,23.14,72.28,44.8,24.20000076,27.60000038,22.89999962,20.70000076,18.20000076,28.79999924,26.29999924,22.89999962,18.5,15.80000019
103,gujarat,Mehsana,SGWB,23.14,72.28,87.9,93.59999847,96.5,95.30000305,101.5999985,108.0,95.69999695,90.19999695,87.40000153,97.80000305,91.0
104,gujarat,Mehsana,SGWB,23.31,72.35,88.1,119.5,121.40000149999999,122.90000149999999,122.6999969,130.1000061,112.1999969,114.5,114.1999969,117.3000031,121.1999969
105,gujarat,Mehsana,SGWB,23.16,72.38,60.2,19.29999924,18.79999924,19.20000076,17.14999962,18.70000076,18.29999924,18.39999962,16.39999962,17.39999962,16.20000076
106,gujarat,Mehsana,SGWB,23.22,72.41,63.8,28.79999924,27.20000076,26.39999962,23.10000038,25.5,27.70000076,26.5,23.5,24.60000038,25.0
107,gujarat,Mehsana,SGWB,23.95,72.7,60.0,32.8,33.7,34.9,34.9,38.7,32.9,33.8,34.5,35.9,35.5
108,gujarat,Mehsana,SGWB,23.89,72.49,70.0,84.7,84.1,84.25,83.7,82.7,84.1,84.25,84.2,82.5,80.4
