Sl. No.,State,District,Block,Village,TYPE,SOURCE,Site_Name,Latitude,Longitude,Well Depth,Aquifier,Level Depth Ratio,Pre_2015,Pst_2015,Pre_2016,Pst_2016,Pre_2017,Pst_2017,Pre_2018,Pst_2018,Pre_2019,Pst_2019,Final Count,Pre Diff 19 15,Pst Diff 19 15,Diff 2015,Diff 2016,Diff 2017,Diff 2018,Diff 2019,Avg Diff,Avg Pre,Avg Post ,Avg Level,Sign Diff 15,Sign Diff 16,Sign Diff 17,Sign Diff 18,Sign Diff 19,Sum Signed Diff
99,Gujarat,Kachchh,Mandvi,Mau Moti,,SGWB,,23.11,69.3,89,Unconfined,0.9380524345,83.9,82.38,83.95,82.48,,83.58,82.65,83.88,83.38,85.18,9,-0.52,2.8,-1.52,-1.47,,1.23,1.8,0.01,83.47,83.50,83.49,-1,-1,0,1,1,0
100,Gujarat,Kachchh,Mandvi,Nabhai,,SGWB,,23.14,69.4,88.9,Unconfined,0.1393950756,12.95,11.53,12.9,11.73,,12.43,12.1,12.63,12.18,13.08,9,-0.77,1.55,-1.42,-1.17,,0.53,0.9,-0.29,12.53,12.28,12.39,-1,-1,0,1,1,0
101,Gujarat,Kachchh,Mandvi,Rajda,,SGWB,,22.96,69.3,28.1,Unconfined,0.6796362198,19.6,18.23,19.5,18.18,,19.03,18.5,19.28,18.98,20.58,9,-0.62,2.35,-1.37,-1.32,,0.78,1.6,-0.08,19.15,19.06,19.10,-1,-1,0,1,1,0
102,Gujarat,Mehsana,Bechraji,Kanoda,,SGWB,,23.62,72.24,55.1,Unconfined,0.6173321193,34.34999847,34.29999924,34,34,34,33.79999924,33.79999924,33.90000153,34.59999847,33.40000153,10,0.25,-0.89999771,-0.04999923,0,-0.20000076,0.10000229,-1.19999694,-0.27,34.15,33.88,34.01,-1,0,-1,1,-1,-2
103,Gujarat,Mehsana,Kadi,Agol-I,,SGWB,,23.14,72.28,44.8,Unconfined,0.5042410727,24.20000076,28.79999924,27.60000038,26.29999924,22.89999962,22.89999962,20.70000076,18.5,18.20000076,15.80000019,10,-6,-12.99999905,4.59999848,-1.30000114,0,-2.20000076,-2.40000057,-0.26,22.72,22.46,22.59,1,-1,0,-1,-1,-2
104,Gujarat,Mehsana,Kadi,Agol-Ii,,SGWB,,23.14,72.28,87.9,Confined,1.088850965,93.59999847,95.69999695,96.5,90.19999695,95.30000305,87.40000153,101.5999985,97.80000305,108,91,10,14.40000153,-4.69999695,2.09999848,-6.30000305,-7.90000152,-3.79999545,-17,-6.58,99.00,92.42,95.71,1,-1,-1,-1,-1,-3
105,Gujarat,Mehsana,Kadi,Kundal,,SGWB,,23.31,72.35,88.1,Confined,1.35754824,119.5,112.1999969,121.4000015,114.5,122.9000015,114.1999969,122.6999969,117.3000031,130.1000061,121.1999969,10,10.6000061,9,-7.3000031,-6.9000015,-8.7000046,-5.3999938,-8.9000092,-7.44,123.32,115.88,119.60,-1,-1,-1,-1,-1,-5
106,Gujarat,Mehsana,Kadi,Sedfa,,SGWB,,23.16,72.38,60.2,Unconfined,0.2987541503,19.29999924,18.29999924,18.79999924,18.39999962,19.20000076,16.39999962,17.14999962,17.39999962,18.70000076,16.20000076,10,-0.59999848,-2.09999848,-1,-0.39999962,-2.80000114,0.25,-2.5,-1.29,18.63,17.34,17.98,-1,-1,-1,1,-1,-3
107,Gujarat,Mehsana,Kadi,Vamaj,,SGWB,,23.22,72.41,63.8,Unconfined,0.404858936,28.79999924,27.70000076,27.20000076,26.5,26.39999962,23.5,23.10000038,24.60000038,25.5,25,10,-3.29999924,-2.70000076,-1.09999848,-0.70000076,-2.89999962,1.5,-0.5,-0.74,26.20,25.46,25.83,-1,-1,-1,1,-1,-3
108,Gujarat,Mehsana,Kheralu,Dabhoda,,SGWB,,23.95,72.7,60,Unconfined,0.5793333333,32.8,32.9,33.7,33.8,34.9,34.5,34.9,35.9,38.7,35.5,10,5.9,2.6,0.1,0.1,-0.4,1,-3.2,-0.48,35.00,34.52,34.76,1,1,-1,1,-1,1
109,Gujarat,Mehsana,Kheralu,Lunva-I,,SGWB,,23.89,72.49,70,Unconfined,1.192714286,84.7,84.1,84.1,84.25,84.25,84.2,83.7,82.5,82.7,80.4,10,-2,-3.7,-0.6,0.15,-0.05,-1.2,-2.3,-0.80,83.89,83.09,83.49,-1,1,-1,-1,-1,-3
110,Gujarat,Mehsana,Kheralu,Lunva-Ii,,SGWB,,23.89,72.49,150,Confined,0.9643333333,143.5,138.6,141.8,141.1,148.7,142,151.2,141.5,153,145.1,10,9.5,6.5,-4.9,-0.7,-6.7,-9.7,-7.9,-5.98,147.64,141.66,144.65,-1,-1,-1,-1,-1,-5
